claim_id,file,line,route,section,category,current_text,status,risk,source_available,decision_required,recommended_future_action
CLM-001,frontend/src/app/layout.tsx,11,toutes,metadata,identité,"Bilik Farm — Ferme Agro-Pastorale",À CONFIRMER,Moyen,non,"Confirmer le positionnement officiel","Garder seulement si juridiquement exact"
CLM-002,frontend/src/app/layout.tsx,12,toutes,metadata,surface,"Ferme agro-pastorale de 40 hectares au cœur du Cameroun",À CONFIRMER,Critique,non,"Confirmer surface actuelle","Remplacer par surface validée ou formulation prudente"
CLM-003,frontend/src/app/layout.tsx,12,toutes,metadata,services,"Produits frais, animaux, aquaculture, provenderie et conseils agricoles",À CONFIRMER,Élevé,non,"Confirmer activités réellement opérationnelles","Distinguer activités actuelles et prévues"
CLM-004,frontend/src/components/ui/Header.tsx,38,toutes,header,services,"Provenderie",À CONFIRMER,Élevé,non,"Confirmer service opérationnel","Maintenir ou classer comme projet"
CLM-005,frontend/src/components/ui/Header.tsx,39,toutes,header,services,"Vente d'animaux",À CONFIRMER,Élevé,non,"Confirmer vente réelle d'animaux","Maintenir seulement si disponible"
CLM-006,frontend/src/components/ui/Header.tsx,40,toutes,header,services,"Vente de vivres frais",À CONFIRMER,Élevé,non,"Confirmer disponibilité de vivres","Mettre en attente si non commercialisé"
CLM-007,frontend/src/components/ui/Header.tsx,41,toutes,header,services,"Écloserie",À CONFIRMER,Élevé,non,"Confirmer couvoir/écloserie","Classer futur si non opérationnel"
CLM-008,frontend/src/components/ui/Header.tsx,42,toutes,header,expertise,"Conseils",À CONFIRMER,Moyen,non,"Confirmer service conseil","Décrire seulement capacité validée"
CLM-009,frontend/src/components/ui/Footer.tsx,16,toutes,footer,environnement,"Bilik Farm s'engage à promouvoir l'agriculture durable et l'agroécologie au cœur du Cameroun",À CONFIRMER,Élevé,non,"Confirmer pratiques et preuves","Utiliser une formulation non certifiante"
CLM-010,frontend/src/components/ui/Footer.tsx,20,toutes,footer,contact,"Liens Facebook et Instagram bilikfarm",À CONFIRMER,Moyen,non,"Confirmer comptes officiels","Corriger ou retirer avant production"
CLM-011,frontend/src/components/ui/Footer.tsx,22,toutes,footer,contact,"Liens YouTube et WhatsApp avec href #",À RETIRER,Élevé,oui,"Fournir vrais liens ou retirer","Ne pas publier en l'état"
CLM-012,frontend/src/components/ui/Footer.tsx,74,toutes,footer,localisation,"Bilik, Akono, Région Centre, Cameroun",À CONFIRMER,Élevé,non,"Confirmer localisation officielle","Ajouter précision vérifiée"
CLM-013,frontend/src/components/ui/Footer.tsx,78,toutes,footer,contact,"+237 XXX XXX XXX",À RETIRER,Élevé,oui,"Fournir numéro réel","Retirer placeholder"
CLM-014,frontend/src/components/ui/Footer.tsx,82,toutes,footer,contact,"info@bilikfarm.com",À CONFIRMER,Élevé,non,"Confirmer domaine/mail opérationnel","Tester réception avant publication"
CLM-015,frontend/src/components/ui/Footer.tsx,91,toutes,footer,juridique,"© 2025 Bilik Farm. Tous droits réservés.",À CONFIRMER,Moyen,non,"Confirmer entité titulaire","Adapter à identité légale"
CLM-016,frontend/src/components/forms/ContactForm.tsx,30,/fr/contact,formulaire,contact,"Nous vous répondrons dans les plus brefs délais",À CONFIRMER,Moyen,non,"Confirmer capacité de traitement","Lier à canal opérationnel"
CLM-017,frontend/src/app/[locale]/page.tsx,12,/fr,produits phares,production,"Issus de nos 10 000 poules pondeuses",À CONFIRMER,Critique,non,"Confirmer cheptel actuel","Remplacer si non prouvé"
CLM-018,frontend/src/app/[locale]/page.tsx,12,/fr,produits phares,qualité,"inspectés quotidiennement pour une fraîcheur et une qualité irréprochables",À CONFIRMER,Élevé,non,"Confirmer protocole qualité","Atténuer sans preuve"
CLM-019,frontend/src/app/[locale]/page.tsx,13,/fr,produits phares,prix,"2 200 FCFA / Alvéole",À CONFIRMER,Critique,non,"Confirmer prix et unité","Centraliser prix validés"
CLM-020,frontend/src/app/[locale]/page.tsx,22,/fr,produits phares,production,"Carpes élevées dans nos étangs contrôlés et pratiques durables",À CONFIRMER,Élevé,non,"Confirmer aquaculture active","Documenter ou reformuler"
CLM-021,frontend/src/app/[locale]/page.tsx,23,/fr,produits phares,prix,"2 500 FCFA / Kg carpes",À CONFIRMER,Critique,non,"Confirmer prix","Centraliser prix validés"
CLM-022,frontend/src/app/[locale]/page.tsx,32,/fr,produits phares,production,"25 000 poissons produits par cycle",À CONFIRMER,Critique,non,"Confirmer volume/cycle","Retirer si non prouvé"
CLM-023,frontend/src/app/[locale]/page.tsx,33,/fr,produits phares,prix,"2 500 FCFA / Kg tilapias",À CONFIRMER,Critique,non,"Confirmer prix","Centraliser prix validés"
CLM-024,frontend/src/app/[locale]/page.tsx,42,/fr,produits phares,qualité,"Nourris avec des aliments biologiques adaptés",À CONFIRMER,Critique,non,"Confirmer biologique/certification","Éviter le terme biologique sans preuve"
